Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/71121545/salvage-2015-toyota-camry-le-al-mobile,71121545,"14,026 USD",Future,2015,TOYT,CAMRY LE,2.5L  4,4,4T4BF1FK3FR******,CERT OF TITLE-SALVAGED,"91,249 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/71064735/salvage-2016-buick-encore-al-mobile,71064735,"11,052 USD",Future,2016,BUIC,ENCORE,1.4L  4,4,KL4CJASBXGB******,CERT OF TITLE-SALVAGED,"55,065 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/71024955/salvage-2005-ford-econoline-e250-van-al-mobile,71024955,"3,544 USD",Future,2005,FORD,ECONOLINE E250 VAN,4.6L  8,8,1FTNE24W25H******,CERT OF TITLE-SALVAGED,"452,991 E",EXEMPT,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/70823735/salvage-2023-hyundai-santa-fe-calligraphy-al-mobile,70823735,"31,610 USD",Future,2023,HYUN,SANTA FE CALLIGRAPHY,2.5L  4,4,5NMS54AL6PH******,CERT OF TITLE-SALVAGED,"16,968 A",ACTUAL,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/70745225/salvage-2020-hyundai-santa-fe-limited-al-mobile,70745225,"20,511 USD",Future,2020,HYUN,SANTA FE L,2.4L  4,4,5NMS53AD1LH******,CERT OF TITLE-SALVAGE TITLE,"52,300 A",ACTUAL,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/70745195/salvage-2013-chevrolet-silverado-k1500-lt-al-mobile,70745195,"15,580 USD",Future,2013,CHEV,SILVERADO K1500 LT,5.3L  8,8,3GCPKSE75DG******,CERT OF TITLE-SALVAGED,"138,294 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/70720595/salvage-2019-hyundai-tucson-limited-al-mobile,70720595,"13,281 USD",Future,2019,HYUN,TUCSON LIM,2.0L  4,4,KM8J33A4XKU******,CERT OF TITLE-SALVAGED,"89,827 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/70639105/salvage-2015-dodge-journey-se-al-mobile,70639105,"5,909 USD",Future,2015,DODG,JOURNEY SE,2.4L  4,4,3C4PDCAB4FT******,CERT OF TITLE-SALVAGED,"221,439 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/70638335/salvage-2007-ford-expedition-eddie-bauer-al-mobile,70638335,"5,336 USD",Future,2007,FORD,EXPEDITION EDDIE BAUER,5.4L  8,8,1FMFU17577L******,CERT OF TITLE-SALVAGED,"169,406 A",ACTUAL,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/70568665/salvage-2014-honda-accord-exl-al-mobile,70568665,"13,612 USD",Future,2014,HOND,ACCORD EXL,3.5L  6,6,1HGCR3F88EA******,CERT OF TITLE - FLOOD SALVAGE,"139,910 A",ACTUAL,WATER/FLOOD,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/70312715/salvage-2025-kia-k4-lx-al-mobile,70312715,"18,532 USD",Future,2025,KIA,K4 LX,2.0L  4,4,3KPFT4DE0SE******,CERT OF TITLE-SALVAGED,"36,593 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/70279545/salvage-2024-hyundai-tucson-sel-al-mobile,70279545,"29,200 USD",Future,2024,HYUN,TUCSON SEL,2.5L  4,4,5NMJF3DE4RH******,SALVAGE CERTIFICATE OF A VEHIC,"19,090 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/70179535/salvage-2017-mini-cooper-s-clubman-al-mobile,70179535,"12,180 USD",Future,2017,MIN,COOPER S C,2.0L  4,4,WMWLN9C36H2******,CERT OF TITLE-SALVAGED,"91,988 A",ACTUAL,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
